Dates,VIX,VSTOXX
2011-09-30,42.96,46.6796
2011-10-31,29.96,35.1198
2011-11-30,27.8,37.0829
2011-12-30,23.4,32.1544
2012-01-31,19.44,26.3081
2012-02-29,18.43,23.9289
2012-03-30,15.5,22.5463
2012-04-30,17.15,26.9511
2012-05-31,24.06,34.9478
2012-06-29,17.08,24.9463
2012-07-31,18.93,28.0088
2012-08-31,17.47,25.7034
2012-09-28,15.73,23.3836
2012-10-31,18.6,22.2123
2012-11-30,15.87,16.5548
2012-12-31,18.02,21.3534
2013-01-31,14.28,16.6395
2013-02-28,15.51,21.0046
2013-03-29,12.7,20.8944
2013-04-30,13.52,20.261
2013-05-31,16.3,19.6048
2013-06-28,16.86,21.8175
2013-07-31,13.45,19.0644
2013-08-30,17.01,23.4785
2013-09-30,16.6,19.4503
2013-10-31,13.75,15.888
2013-11-29,13.7,14.6502
2013-12-31,13.72,17.2549
2014-01-31,18.41,21.8188
2014-02-28,14.0,16.7667
2014-03-31,13.88,17.6639
2014-04-30,13.41,17.0713
2014-05-30,11.4,15.7845
2014-06-30,11.57,15.269
2014-07-31,16.95,19.1221
2014-08-29,11.98,17.1888
2014-09-30,16.31,17.8514
2014-10-31,14.03,20.3172
2014-11-28,13.33,18.0253
2014-12-31,19.2,26.1876
2015-01-30,20.97,24.731
2015-02-27,13.34,17.7528
2015-03-31,15.29,21.1004
2015-04-30,14.55,24.2128
2015-05-29,13.84,23.5386
2015-06-30,18.23,32.3071
2015-07-31,12.12,19.2878
2015-08-31,28.43,31.0718
2015-09-30,24.5,32.0459
2015-10-30,15.07,20.3569
2015-11-30,16.13,23.6503
2015-12-31,18.21,22.7102
2016-01-29,20.2,27.389
2016-02-29,20.55,29.7298
2016-03-31,13.95,23.4487
2016-04-29,15.7,24.033
2016-05-31,14.19,22.1149
2016-06-30,15.63,26.0765
2016-07-29,11.87,20.2451
2016-08-31,13.42,19.4166
2016-09-30,13.29,19.7693
2016-10-31,17.06,21.4449
2016-11-30,13.33,21.4372
2016-12-30,14.04,18.123
2017-01-31,11.99,17.3682
2017-02-28,12.92,16.2849
2017-03-31,12.37,16.5221
2017-04-28,10.82,17.0495
2017-05-31,10.41,14.5538
2017-06-30,11.18,17.2533
2017-07-31,10.26,13.9033
2017-08-31,10.59,15.6317
2017-09-29,9.51,12.1208
2017-10-31,10.18,11.9864
2017-11-30,11.28,13.4708
2017-12-29,11.04,13.5114
2018-01-31,13.54,15.1644
2018-02-28,19.85,18.0002
2018-03-30,19.97,17.4364
2018-04-30,15.93,13.7154
2018-05-31,15.43,17.6547
2018-06-29,16.09,16.6333
2018-07-31,12.83,12.5596
2018-08-31,12.86,15.6343
2018-09-28,12.12,14.7637
2018-10-31,21.23,20.3038
2018-11-30,18.07,18.4935
2018-12-31,25.42,23.8643
2019-01-31,16.57,15.1126
2019-02-28,14.78,13.5876
2019-03-29,13.71,15.2748
2019-04-30,13.12,13.2624
2019-05-31,18.71,17.4218
2019-06-28,15.08,13.7342
2019-07-31,16.12,14.3909
2019-08-30,18.98,17.6681
2019-09-30,16.24,15.8282
2019-10-31,13.22,13.7919
2019-11-29,12.62,13.174
2019-12-31,13.78,13.9548
2020-01-31,18.84,17.1542
2020-02-28,40.11,42.2369
2020-03-31,53.54,48.5926
2020-04-30,34.15,33.9105
2020-05-29,27.51,31.1263
2020-06-30,30.43,31.7179
2020-07-31,24.46,26.6625
2020-08-31,26.41,26.7213
2020-09-30,26.37,26.0598
2020-10-30,38.02,35.3472
2020-11-30,20.57,22.9149
2020-12-31,22.75,23.369
2021-01-29,33.09,29.0082
2021-02-26,27.95,26.8632
2021-03-31,19.4,17.9742
2021-04-30,18.61,20.6309
2021-05-31,16.76,19.0981
2021-06-30,15.83,18.1849
2021-07-30,18.24,20.9392
2021-08-31,16.48,18.7654
2021-09-30,23.14,23.2428
2021-10-29,16.26,17.6164
2021-11-30,27.19,30.0679
2021-12-31,17.22,19.2677
2022-01-31,24.83,27.0084
2022-02-28,30.15,35.293
2022-03-31,20.56,28.9898
2022-04-29,33.4,30.7732
2022-05-31,26.19,25.249
2022-06-30,28.71,29.7804
2022-07-29,21.33,22.3049
2022-08-31,25.87,27.9451
2022-09-30,31.62,30.7092
2022-10-31,25.88,24.8305
2022-11-30,20.58,21.2104
2022-12-30,21.67,20.8862
2023-01-31,19.4,18.5683
2023-02-28,20.7,19.5007
2023-03-31,18.7,19.4246
2023-04-28,15.78,17.4304
2023-05-31,17.94,19.9817
2023-06-30,13.59,13.6139
2023-07-31,13.63,16.2264
2023-08-31,13.57,16.0638
2023-09-29,17.52,17.4704
2023-10-31,18.14,19.7076
2023-11-30,12.92,13.815
2023-12-29,12.45,13.5747
